Generation,TimeElapsed,FitnessScore,Tm,Spec
0,1.51708,-6.34483,-17.7114,5.02176
1,1.90063,-6.34483,-17.7114,5.02176
2,2.28345,-6.15285,-16.7006,4.39493
3,2.58929,-4.35788,-15.5606,6.84489
4,3.00035,-1.09407,-12.2674,10.0793
5,3.38852,-0.419997,-11.1812,10.3412
6,3.67675,-0.419997,-11.1812,10.3412
7,4.02005,-0.419997,-11.1812,10.3412
8,4.32834,-0.419997,-11.1812,10.3412
9,4.6678,-0.419997,-11.1812,10.3412
10,4.93389,-0.419997,-11.1812,10.3412
11,5.32035,-0.128703,-9.81156,9.55416
12,5.65936,0.672913,-8.81332,10.1592
13,5.94001,1.00131,-7.89742,9.90004
14,6.35411,3.80977,-5.08896,12.7085
15,6.71702,3.80977,-5.08896,12.7085
16,7.03801,3.80977,-5.08896,12.7085
17,7.37854,4.82475,-2.0568,11.7063
18,7.71322,5.53045,-0.92909,11.99
19,8.08361,5.53045,-0.92909,11.99
20,8.36659,5.53045,-0.92909,11.99
21,8.66284,5.53045,-0.92909,11.99
22,9.02776,7.26153,0.864458,13.6586
23,9.33929,7.26153,0.864458,13.6586
24,9.75755,7.26153,0.864458,13.6586
25,10.0142,7.26153,0.864458,13.6586
26,10.3761,7.69598,3.5206,11.8714
27,10.6927,9.96877,4.83209,15.1054
28,11.0897,10.8329,4.24557,17.4202
29,11.4268,10.8329,4.24557,17.4202
30,11.7504,11.1945,4.12777,18.2611
31,12.1305,11.1945,4.12777,18.2611
32,12.3694,11.1945,4.12777,18.2611
33,12.7983,11.1945,4.12777,18.2611
34,13.2359,11.3839,6.41557,16.3522
35,13.5238,12.7098,8.48955,16.93
36,14.0224,14.1651,12.0415,16.2887
37,14.3792,15.0754,12.9518,17.199
38,14.6536,15.0754,12.9518,17.199
39,15.1134,15.0754,13.6606,16.4902
40,15.4069,15.4298,13.6606,17.199
41,15.708,15.4298,13.6606,17.199
42,16.1653,16.3483,15.578,17.1186
43,16.486,16.3483,15.578,17.1186
44,16.8085,16.9919,16.2216,17.7622
45,17.2384,16.9919,16.2216,17.7622
46,17.5683,17.6894,14.9572,20.4216
47,17.9045,17.6894,14.9572,20.4216
48,18.1744,17.6894,14.9572,20.4216
49,18.4713,17.6894,14.9572,20.4216
50,18.8553,17.6894,14.9572,20.4216
51,19.2794,17.6894,14.9572,20.4216
52,19.6316,17.6894,14.9572,20.4216
53,20.0624,18.33,16.8106,19.8493
54,20.4119,18.33,16.8106,19.8493
55,20.7482,18.33,16.8106,19.8493
56,21.0069,18.33,16.8106,19.8493
57,21.3466,18.501,16.8637,20.1382
58,21.7303,18.501,16.8637,20.1382
59,22.0019,18.501,16.8637,20.1382
60,22.3658,18.501,16.8637,20.1382
61,22.7398,20.9367,22.8727,19.0006
62,23.0883,20.9367,22.8727,19.0006
63,23.4199,20.9367,22.8727,19.0006
64,23.9506,20.9367,22.8727,19.0006
65,24.4245,20.9367,22.8727,19.0006
66,24.9193,21.1513,22.593,19.7097
67,25.5271,21.1513,22.593,19.7097
68,25.9782,21.1513,22.593,19.7097
69,26.4298,21.1513,22.593,19.7097
70,26.7812,21.3311,19.6721,22.9902
71,27.1852,21.3311,19.6721,22.9902
72,27.5379,21.99,21.4019,22.578
73,27.9444,21.99,21.4019,22.578
74,28.3211,22.2641,21.3128,23.2153
75,28.7734,22.2641,21.3128,23.2153
76,29.1256,22.8414,20.8467,24.836
77,29.5915,22.8414,20.8467,24.836
78,29.9253,22.8414,20.8467,24.836
79,30.2866,22.8414,20.8467,24.836
80,30.6613,22.8414,20.8467,24.836
81,31.0371,22.8414,20.8467,24.836
82,31.3937,23.5164,20.8204,26.2124
83,31.7809,24.1178,24.1218,24.1137
84,32.3134,24.1178,24.1218,24.1137
85,32.716,24.1178,24.1218,24.1137
86,33.1384,24.1178,24.1218,24.1137
87,33.4679,24.1178,24.1218,24.1137
88,33.7653,24.1178,24.1218,24.1137
89,34.1204,24.1178,24.1218,24.1137
90,34.577,24.6723,25.5959,23.7487
91,34.921,25.1367,25.6405,24.6329
92,35.2866,25.1367,25.6405,24.6329
93,35.5588,25.1367,25.6405,24.6329
94,35.9568,25.4767,25.9805,24.9729
95,36.2891,25.4767,25.9805,24.9729
96,36.7014,25.4767,25.9805,24.9729
97,37.085,25.4767,25.9805,24.9729
98,37.4528,25.4767,25.9805,24.9729
99,37.6749,25.7433,28.2555,23.231
100,38.0325,25.7433,28.2555,23.231
101,38.4494,25.7433,28.2555,23.231
102,38.7559,25.7433,28.2555,23.231
103,39.1339,25.8679,28.8991,22.8367
104,39.4587,25.8679,28.8991,22.8367
105,39.8876,26.9835,27.5239,26.4431
106,40.1713,26.9835,27.5239,26.4431
107,40.5589,26.9835,27.5239,26.4431
108,40.9112,26.9835,27.5239,26.4431
109,41.3304,26.9835,27.5239,26.4431
110,41.6522,26.9835,27.5239,26.4431
111,42.0474,26.9835,27.5239,26.4431
112,42.6403,26.9835,27.5239,26.4431
113,43.001,26.9835,27.5239,26.4431
114,43.4165,26.9835,27.5239,26.4431
115,43.8479,26.9835,27.5239,26.4431
116,44.2696,26.9835,27.5239,26.4431
117,44.5739,26.9835,27.5239,26.4431
118,44.9049,26.9835,27.5239,26.4431
119,45.3367,26.9835,27.5239,26.4431
120,45.7372,26.9835,27.5239,26.4431
121,46.1224,26.9835,27.5239,26.4431
122,46.487,26.9835,27.5239,26.4431
123,46.937,26.9835,27.5239,26.4431
124,47.2579,26.9835,27.5239,26.4431
125,47.6413,26.9835,27.5239,26.4431
126,47.9666,26.9835,27.5239,26.4431
127,48.2876,26.9835,27.5239,26.4431
128,48.6144,26.9835,27.5239,26.4431
129,49.0749,26.9835,27.5239,26.4431
130,49.4778,26.9835,27.5239,26.4431
131,49.8473,26.9835,27.5239,26.4431
132,50.284,26.9835,27.5239,26.4431
133,50.7399,27.2165,32.7662,21.6668
134,51.0728,27.2165,32.7662,21.6668
135,51.4597,27.2165,32.7662,21.6668
136,51.8987,27.2165,32.7662,21.6668
137,52.3454,27.2165,32.7662,21.6668
138,52.6588,27.2165,32.7662,21.6668
139,53.0387,27.2165,32.7662,21.6668
140,53.442,27.2165,32.7662,21.6668
141,53.8684,27.2165,32.7662,21.6668
142,54.2576,27.2165,32.7662,21.6668
143,54.6735,27.2165,32.7662,21.6668
144,55.1481,27.2165,32.7662,21.6668
145,55.5791,27.2165,32.7662,21.6668
146,55.9495,27.2165,32.7662,21.6668
147,56.4006,27.2165,32.7662,21.6668
148,56.7915,27.2165,32.7662,21.6668
149,57.1452,27.2165,32.7662,21.6668
150,57.5378,27.2165,32.7662,21.6668
151,57.9124,27.2165,32.7662,21.6668
152,58.2849,27.2165,32.7662,21.6668
153,58.6801,27.2165,32.7662,21.6668
154,59.019,28.7587,35.2483,22.2691
155,59.3562,28.7587,35.2483,22.2691
156,59.7406,28.7587,35.2483,22.2691
157,60.092,28.7587,35.2483,22.2691
158,60.4648,28.7587,35.2483,22.2691
159,60.8691,28.7587,35.2483,22.2691
160,61.248,28.7587,35.2483,22.2691
161,61.5846,28.7587,35.2483,22.2691
162,62.0176,28.7587,35.2483,22.2691
163,62.476,28.7587,35.2483,22.2691
164,62.9471,28.7587,35.2483,22.2691
165,63.2939,28.7587,35.2483,22.2691
166,63.6754,28.7587,35.2483,22.2691
167,64.0526,28.7587,35.2483,22.2691
168,64.3902,28.7587,35.2483,22.2691
169,64.7734,28.7587,35.2483,22.2691
170,65.1936,28.7587,35.2483,22.2691
171,65.5603,28.7587,35.2483,22.2691
172,66.0299,28.7587,35.2483,22.2691
173,66.4067,28.7587,35.2483,22.2691
174,66.6916,28.8393,35.3289,22.3497
175,67.0864,29.1417,35.0615,23.222
176,67.4895,29.1417,35.0615,23.222
177,67.8191,29.1417,35.0615,23.222
178,68.2847,29.9526,39.1036,20.8015
179,68.6432,29.9526,39.1036,20.8015
180,69.0026,29.9526,39.1036,20.8015
181,69.21,29.9526,39.1036,20.8015
182,69.6055,29.9526,39.1036,20.8015
183,69.9668,30.22,39.3711,21.069
184,70.3581,31.0817,41.1204,21.043
185,70.7315,31.0817,41.1204,21.043
186,71.104,31.0817,41.1204,21.043
187,71.4969,31.0817,41.1204,21.043
188,71.9044,31.0817,41.1204,21.043
189,72.2332,31.0817,41.1204,21.043
190,72.6665,31.6736,41.7123,21.6349
191,73.0639,31.6736,41.7123,21.6349
192,73.5007,32.2386,42.5635,21.9137
193,73.8786,32.2386,42.5635,21.9137
194,74.2513,32.2386,42.5635,21.9137
195,74.7494,32.2386,42.5635,21.9137
196,75.0905,32.2441,44.5803,19.9079
197,75.5995,32.4747,46.3296,18.6197
198,75.9561,32.4747,46.3296,18.6197
199,76.4041,32.4747,46.3296,18.6197
200,76.847,32.4747,46.3296,18.6197
201,77.1668,32.4747,46.3296,18.6197
202,77.5255,32.4747,46.3296,18.6197
203,78.0399,32.4747,46.3296,18.6197
204,78.4451,32.4747,46.3296,18.6197
205,78.768,33.1074,47.6704,18.5445
206,79.1239,33.1074,47.6704,18.5445
207,79.4591,33.1074,47.6704,18.5445
208,79.8102,33.1074,47.6704,18.5445
209,80.2652,33.1074,47.6704,18.5445
210,80.6926,33.1074,47.6704,18.5445
211,81.0774,33.1074,47.6704,18.5445
212,81.5102,33.1074,47.6704,18.5445
213,81.9662,33.1074,47.6704,18.5445
214,82.3192,33.1074,47.6704,18.5445
215,82.6238,33.1074,47.6704,18.5445
216,83.0474,33.5639,48.5833,18.5445
217,83.4143,33.5639,48.5833,18.5445
218,83.8355,33.5639,48.5833,18.5445
219,84.2293,33.5639,48.5833,18.5445
220,84.5223,33.5639,48.5833,18.5445
221,84.8818,33.5639,48.5833,18.5445
222,85.3686,34.0683,45.6351,22.5015
223,85.7389,34.0683,45.6351,22.5015
